organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Somerset,Mobile,A,Brompton Regis,Wimbleball Lake,"Wimbleball Lake, Brompton Regis",TA22 9NU,-3.47537,51.064823,Tuesday,10:05,10:20,FREQ=WEEKLY;INTERVAL=4,2019-11-12,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,A,Brompton Regis,George Inn,"George Inn, Brompton Regis",TA22 9NL,-3.499113,51.073041,Tuesday,10:30,10:50,FREQ=WEEKLY;INTERVAL=4,2019-11-12,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,A,Brompton Regis,Combeshead,"Combeshead, Brompton Regis",TA22 9LE,-3.51214,51.084696,Tuesday,11:00,11:15,FREQ=WEEKLY;INTERVAL=4,2019-11-12,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,A,Bridgetown (Exe Valley),Week Lane,"Week Lane, Bridgetown (Exe Valley)",TA22 9JN,-3.540042,51.087374,Tuesday,11:25,11:45,FREQ=WEEKLY;INTERVAL=4,2019-11-12,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,A,Withypool,Hawthorn Bungalow,"Hawthorn Bungalow, Withypool",TA24 7QY,-3.652381,51.105624,Tuesday,12:05,12:25,FREQ=WEEKLY;INTERVAL=4,2019-11-12,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,A,Winsford,Winsford Centre,"Winsford Centre, Winsford",TA24 7JQ,-3.565239,51.103721,Tuesday,12:40,13:10,FREQ=WEEKLY;INTERVAL=4,2019-11-12,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,A,Watchet,Watchet Children's Centre,"Watchet Children's Centre, Watchet",TA23 0EX,-3.32177,51.176687,Tuesday,14:25,15:00,FREQ=WEEKLY;INTERVAL=4,2019-11-12,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,Templecombe,School Lane (Plygrp),"School Lane (Plygrp), Templecombe",BA8 0HP,-2.416078,51.002472,Wednesday,10:15,10:30,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,Charlton Horethorne,North Road,"North Road, Charlton Horethorne",DT9 4NS,-2.481942,51.011185,Wednesday,10:45,11:05,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,South Barrow,South Barrow Church,"South Barrow Church, South Barrow",BA22 7LN,-2.56898,51.0497,Wednesday,11:20,11:40,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,Rimpton,Road to Rimpton House,"Road to Rimpton House, Rimpton",BA22 8AQ,-2.561762,50.995325,Wednesday,12:00,12:30,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,Mudford,Hales Meadow,"Hales Meadow, Mudford",BA21 5TA,-2.607573,50.973574,Wednesday,13:15,13:30,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,West Camel,"Fore Street, Middle Farmhouse","Fore Street, Middle Farmhouse, West Camel",BA22 7QW,-2.605706,51.020533,Wednesday,13:45,14:05,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,Ilchester,Ilchester Car park,"Ilchester Car park, Ilchester",BA22 8LX,-2.680643,51.000211,Wednesday,14:25,14:55,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,B,Ilchester,Ilchester School,"Ilchester School, Ilchester",BA22 8JP,-2.683214,51.011212,Wednesday,15:00,15:25,FREQ=WEEKLY;INTERVAL=4,2019-11-13,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
Somerset,Mobile,C,Butleigh,"Barton Road, Fairmile","Barton Road, Fairmile, Butleigh",BA6 8TH,-2.68395,51.095123,Thursday,09:45,10:00,FREQ=WEEKLY;INTERVAL=4,2019-11-14,,https://www.somerset.gov.uk/libraries-leisure-and-communities/libraries/library-facilities/mobile-library/
