Local authority,Count date,Area code,Members
Bristol City Council,2018-10-23,E01014382,47
Bristol City Council,2018-10-23,E01014383,6
Bristol City Council,2018-10-23,E01014384,6
Bristol City Council,2018-10-23,E01014385,6
Bristol City Council,2018-10-23,E01014396,10
Bristol City Council,2018-10-23,E01014398,7
Bristol City Council,2018-10-23,E01014399,6
Bristol City Council,2018-10-23,E01014400,8
Bristol City Council,2018-10-23,E01014446,9
Bristol City Council,2018-10-23,E01014447,99
Bristol City Council,2018-10-23,E01014453,7
Bristol City Council,2018-10-23,E01014485,354
Bristol City Council,2018-10-23,E01014486,557
Bristol City Council,2018-10-23,E01014487,404
Bristol City Council,2018-10-23,E01014488,405
Bristol City Council,2018-10-23,E01014489,451
Bristol City Council,2018-10-23,E01014491,871
Bristol City Council,2018-10-23,E01014492,147
Bristol City Council,2018-10-23,E01014493,136
Bristol City Council,2018-10-23,E01014494,151
Bristol City Council,2018-10-23,E01014495,321
Bristol City Council,2018-10-23,E01014496,188
Bristol City Council,2018-10-23,E01014497,54
Bristol City Council,2018-10-23,E01014498,94
Bristol City Council,2018-10-23,E01014499,83
Bristol City Council,2018-10-23,E01014500,431
Bristol City Council,2018-10-23,E01014501,122
Bristol City Council,2018-10-23,E01014502,279
Bristol City Council,2018-10-23,E01014504,212
Bristol City Council,2018-10-23,E01014505,287
Bristol City Council,2018-10-23,E01014506,171
Bristol City Council,2018-10-23,E01014507,400
Bristol City Council,2018-10-23,E01014508,325
Bristol City Council,2018-10-23,E01014509,478
Bristol City Council,2018-10-23,E01014510,417
Bristol City Council,2018-10-23,E01014511,389
Bristol City Council,2018-10-23,E01014512,443
Bristol City Council,2018-10-23,E01014513,460
Bristol City Council,2018-10-23,E01014514,442
Bristol City Council,2018-10-23,E01014515,93
Bristol City Council,2018-10-23,E01014516,87
Bristol City Council,2018-10-23,E01014517,59
Bristol City Council,2018-10-23,E01014518,217
Bristol City Council,2018-10-23,E01014519,165
Bristol City Council,2018-10-23,E01014520,132
Bristol City Council,2018-10-23,E01014521,171
Bristol City Council,2018-10-23,E01014522,126
Bristol City Council,2018-10-23,E01014523,169
Bristol City Council,2018-10-23,E01014524,130
Bristol City Council,2018-10-23,E01014525,301
Bristol City Council,2018-10-23,E01014526,109
Bristol City Council,2018-10-23,E01014527,164
Bristol City Council,2018-10-23,E01014528,158
Bristol City Council,2018-10-23,E01014529,114
Bristol City Council,2018-10-23,E01014530,135
Bristol City Council,2018-10-23,E01014531,282
Bristol City Council,2018-10-23,E01014532,213
Bristol City Council,2018-10-23,E01014533,192
Bristol City Council,2018-10-23,E01014534,227
Bristol City Council,2018-10-23,E01014535,181
Bristol City Council,2018-10-23,E01014536,99
Bristol City Council,2018-10-23,E01014537,233
Bristol City Council,2018-10-23,E01014538,170
Bristol City Council,2018-10-23,E01014539,278
Bristol City Council,2018-10-23,E01014540,709
Bristol City Council,2018-10-23,E01014542,301
Bristol City Council,2018-10-23,E01014544,193
Bristol City Council,2018-10-23,E01014545,225
Bristol City Council,2018-10-23,E01014546,240
Bristol City Council,2018-10-23,E01014547,328
Bristol City Council,2018-10-23,E01014548,328
Bristol City Council,2018-10-23,E01014549,272
Bristol City Council,2018-10-23,E01014550,386
Bristol City Council,2018-10-23,E01014551,202
Bristol City Council,2018-10-23,E01014552,275
Bristol City Council,2018-10-23,E01014553,323
Bristol City Council,2018-10-23,E01014554,230
Bristol City Council,2018-10-23,E01014555,212
Bristol City Council,2018-10-23,E01014556,331
Bristol City Council,2018-10-23,E01014557,243
Bristol City Council,2018-10-23,E01014558,238
Bristol City Council,2018-10-23,E01014559,354
Bristol City Council,2018-10-23,E01014560,250
Bristol City Council,2018-10-23,E01014561,271
Bristol City Council,2018-10-23,E01014562,238
Bristol City Council,2018-10-23,E01014563,276
Bristol City Council,2018-10-23,E01014564,300
Bristol City Council,2018-10-23,E01014565,217
Bristol City Council,2018-10-23,E01014566,287
Bristol City Council,2018-10-23,E01014567,250
Bristol City Council,2018-10-23,E01014568,451
Bristol City Council,2018-10-23,E01014569,399
Bristol City Council,2018-10-23,E01014570,335
Bristol City Council,2018-10-23,E01014571,200
Bristol City Council,2018-10-23,E01014572,283
Bristol City Council,2018-10-23,E01014573,257
Bristol City Council,2018-10-23,E01014574,303
Bristol City Council,2018-10-23,E01014575,201
Bristol City Council,2018-10-23,E01014576,239
Bristol City Council,2018-10-23,E01014577,134
Bristol City Council,2018-10-23,E01014578,175
Bristol City Council,2018-10-23,E01014579,90
Bristol City Council,2018-10-23,E01014580,121
Bristol City Council,2018-10-23,E01014581,234
Bristol City Council,2018-10-23,E01014582,144
Bristol City Council,2018-10-23,E01014583,151
Bristol City Council,2018-10-23,E01014584,86
Bristol City Council,2018-10-23,E01014585,213
Bristol City Council,2018-10-23,E01014586,96
Bristol City Council,2018-10-23,E01014587,82
Bristol City Council,2018-10-23,E01014588,270
Bristol City Council,2018-10-23,E01014589,131
Bristol City Council,2018-10-23,E01014590,243
Bristol City Council,2018-10-23,E01014591,99
Bristol City Council,2018-10-23,E01014592,177
Bristol City Council,2018-10-23,E01014593,74
Bristol City Council,2018-10-23,E01014594,103
Bristol City Council,2018-10-23,E01014595,88
Bristol City Council,2018-10-23,E01014596,74
Bristol City Council,2018-10-23,E01014597,66
Bristol City Council,2018-10-23,E01014598,129
Bristol City Council,2018-10-23,E01014599,98
Bristol City Council,2018-10-23,E01014600,128
Bristol City Council,2018-10-23,E01014601,247
Bristol City Council,2018-10-23,E01014602,214
Bristol City Council,2018-10-23,E01014603,271
Bristol City Council,2018-10-23,E01014605,298
Bristol City Council,2018-10-23,E01014607,159
Bristol City Council,2018-10-23,E01014608,180
Bristol City Council,2018-10-23,E01014609,149
Bristol City Council,2018-10-23,E01014610,123
Bristol City Council,2018-10-23,E01014611,101
Bristol City Council,2018-10-23,E01014612,106
Bristol City Council,2018-10-23,E01014613,103
Bristol City Council,2018-10-23,E01014614,104
Bristol City Council,2018-10-23,E01014615,311
