Local authority,Library name,Date,Type,Outcome,Attendees
Barnet,Childs Hill,2019-07-10,Lego,Stronger more resilient communities,18
Barnet,Childs Hill,2019-07-10,Toddler Read and Rhyme,Stronger more resilient communities,14
Barnet,Childs Hill,2019-07-11,Reading Group Adult,Stronger more resilient communities,4
Barnet,Childs Hill,2019-07-16,IT,Stronger more resilient communities,3
Barnet,Childs Hill,2019-07-16,Other Child 5+,Stronger more resilient communities,4
Barnet,Childs Hill,2019-07-17,Baby Rhyme Time,Stronger more resilient communities,12
Barnet,Childs Hill,2019-07-17,Lego,Stronger more resilient communities,6
Barnet,Childs Hill,2019-07-17,Toddler Read and Rhyme,Stronger more resilient communities,15
Barnet,Childs Hill,2019-07-18,Conversation Café/Language Session,Stronger more resilient communities,1
Barnet,Childs Hill,2019-07-18,Reading Group Adult,Stronger more resilient communities,6
Barnet,Childs Hill,2019-07-23,IT,Stronger more resilient communities,5
Barnet,Childs Hill,2019-07-25,Conversation Café/Language Session,Stronger more resilient communities,1
Barnet,Childs Hill,2019-07-25,Reading Group Adult,Stronger more resilient communities,5
Barnet,Childs Hill,2019-08-01,Conversation Café/Language Session,Stronger more resilient communities,1
Barnet,Childs Hill,2019-08-01,Reading Group Adult,Stronger more resilient communities,6
Barnet,Childs Hill,2019-08-06,IT,Stronger more resilient communities,2
Barnet,Childs Hill,2019-08-07,Summer Reading Challenge,Stronger more resilient communities,54
Barnet,Childs Hill,2019-08-08,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Childs Hill,2019-08-08,Reading Group Adult,Stronger more resilient communities,5
Barnet,Childs Hill,2019-08-09,Other Child 5+,Stronger more resilient communities,16
Barnet,Childs Hill,2019-08-13,IT,Stronger more resilient communities,5
Barnet,Childs Hill,2019-08-15,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Childs Hill,2019-08-15,Reading Group Adult,Stronger more resilient communities,6
Barnet,Childs Hill,2019-08-20,IT,Stronger more resilient communities,2
Barnet,Childs Hill,2019-08-22,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Childs Hill,2019-08-22,Reading Group Adult,Stronger more resilient communities,2
Barnet,Childs Hill,2019-08-27,IT,Stronger more resilient communities,4
Barnet,Childs Hill,2019-08-29,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Childs Hill,2019-08-29,Reading Group Adult,Stronger more resilient communities,4
Barnet,Childs Hill,2019-09-03,IT,Stronger more resilient communities,5
Barnet,Childs Hill,2019-09-03,Knit & Natter/Crafts/Sewing,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-04,Baby Rhyme Time,Stronger more resilient communities,4
Barnet,Childs Hill,2019-09-04,Lego,Stronger more resilient communities,16
Barnet,Childs Hill,2019-09-04,Toddler Read and Rhyme,Stronger more resilient communities,25
Barnet,Childs Hill,2019-09-05,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-05,Reading Group Adult,Stronger more resilient communities,6
Barnet,Childs Hill,2019-09-10,IT,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-10,Knit & Natter/Crafts/Sewing,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-11,Baby Rhyme Time,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-11,Lego,Stronger more resilient communities,8
Barnet,Childs Hill,2019-09-11,Toddler Read and Rhyme,Stronger more resilient communities,8
Barnet,Childs Hill,2019-09-12,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-12,Reading Group Adult,Stronger more resilient communities,6
Barnet,Childs Hill,2019-09-17,IT,Stronger more resilient communities,3
Barnet,Childs Hill,2019-09-17,Knit & Natter/Crafts/Sewing,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-18,Lego,Stronger more resilient communities,14
Barnet,Childs Hill,2019-09-18,Toddler Read and Rhyme,Stronger more resilient communities,11
Barnet,Childs Hill,2019-09-19,Conversation Café/Language Session,Stronger more resilient communities,1
Barnet,Childs Hill,2019-09-19,Reading Group Adult,Stronger more resilient communities,6
Barnet,Childs Hill,2019-09-24,IT,Stronger more resilient communities,3
Barnet,Childs Hill,2019-09-24,Knit & Natter/Crafts/Sewing,Stronger more resilient communities,1
Barnet,Childs Hill,2019-09-25,Baby Rhyme Time,Stronger more resilient communities,14
Barnet,Childs Hill,2019-09-25,Lego,Stronger more resilient communities,16
Barnet,Childs Hill,2019-09-25,Toddler Read and Rhyme,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-26,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Childs Hill,2019-09-26,Reading Group Adult,Stronger more resilient communities,6
Barnet,Chipping Barnet,2018-01-08,BBP,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-01-08,Creative Play,Stronger more resilient communities,33
Barnet,Chipping Barnet,2018-01-13,Class Visits Primary,Stronger more resilient communities,30
Barnet,Chipping Barnet,2018-01-15,BBP,Stronger more resilient communities,32
Barnet,Chipping Barnet,2018-01-15,Creative Play,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-01-16,Baby Rhyme Time,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-01-17,Baby Rhyme Time,Stronger more resilient communities,30
Barnet,Chipping Barnet,2018-01-17,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-01-22,BBP,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-01-22,Creative Play,Stronger more resilient communities,38
Barnet,Chipping Barnet,2018-01-24,Class Visits Primary,Stronger more resilient communities,29
Barnet,Chipping Barnet,2018-01-24,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-01-26,Class Visits Primary,Stronger more resilient communities,29
Barnet,Chipping Barnet,2018-01-29,BBP,Stronger more resilient communities,54
Barnet,Chipping Barnet,2018-01-29,Creative Play,Stronger more resilient communities,38
Barnet,Chipping Barnet,2018-01-30,Baby Rhyme Time,Stronger more resilient communities,24
Barnet,Chipping Barnet,2018-01-30,Class Visits Primary,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-01-31,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-02-01,IT,Stronger more resilient communities,8
Barnet,Chipping Barnet,2018-02-05,BBP,Stronger more resilient communities,38
Barnet,Chipping Barnet,2018-02-05,Creative Play,Stronger more resilient communities,38
Barnet,Chipping Barnet,2018-02-07,Baby Rhyme Time,Stronger more resilient communities,33
Barnet,Chipping Barnet,2018-02-07,Class Visits Primary,Stronger more resilient communities,18
Barnet,Chipping Barnet,2018-02-09,Class Visits Primary,Stronger more resilient communities,26
Barnet,Chipping Barnet,2018-02-12,Other Early Years,Stronger more resilient communities,46
Barnet,Chipping Barnet,2018-02-12,Other Early Years,Stronger more resilient communities,51
Barnet,Chipping Barnet,2018-02-15,Other Early Years,Stronger more resilient communities,24
Barnet,Chipping Barnet,2018-02-19,BBP,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-02-19,Other Early Years,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-02-21,Baby Rhyme Time,Stronger more resilient communities,29
Barnet,Chipping Barnet,2018-02-26,BBP,Stronger more resilient communities,35
Barnet,Chipping Barnet,2018-02-26,Creative Play,Stronger more resilient communities,14
Barnet,Chipping Barnet,2018-02-28,Baby Rhyme Time,Stronger more resilient communities,36
Barnet,Chipping Barnet,2018-03-05,BBP,Stronger more resilient communities,36
Barnet,Chipping Barnet,2018-03-05,Creative Play,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-03-07,Baby Rhyme Time,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-03-07,Reading Group Adult,Stronger more resilient communities,8
Barnet,Chipping Barnet,2018-03-12,BBP,Stronger more resilient communities,35
Barnet,Chipping Barnet,2018-03-12,Creative Play,Stronger more resilient communities,43
Barnet,Chipping Barnet,2018-03-13,Baby Rhyme Time,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-03-13,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-03-14,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-03-19,BBP,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-03-19,Creative Play,Stronger more resilient communities,21
Barnet,Chipping Barnet,2018-03-20,Baby Rhyme Time,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-03-21,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-03-26,BBP,Stronger more resilient communities,44
Barnet,Chipping Barnet,2018-03-26,Creative Play,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-03-27,Baby Rhyme Time,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-03-28,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-04-04,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-04-04,Reading Group Adult,Stronger more resilient communities,10
Barnet,Chipping Barnet,2018-04-05,Other Early Years,Stronger more resilient communities,6
Barnet,Chipping Barnet,2018-04-09,Other Early Years,Stronger more resilient communities,40
Barnet,Chipping Barnet,2018-04-10,Baby Rhyme Time,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-04-10,Class Visits Nursery,Stronger more resilient communities,17
Barnet,Chipping Barnet,2018-04-11,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-04-16,BBP,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-04-16,Creative Play,Stronger more resilient communities,23
Barnet,Chipping Barnet,2018-04-17,Baby Rhyme Time,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-04-18,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-04-23,BBP,Stronger more resilient communities,30
Barnet,Chipping Barnet,2018-04-23,Creative Play,Stronger more resilient communities,24
Barnet,Chipping Barnet,2018-04-24,Baby Rhyme Time,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-04-25,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-04-25,Other adult,Stronger more resilient communities,31
Barnet,Chipping Barnet,2018-04-30,BBP,Stronger more resilient communities,36
Barnet,Chipping Barnet,2018-04-30,Creative Play,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-05-01,Baby Rhyme Time,Stronger more resilient communities,24
Barnet,Chipping Barnet,2018-05-02,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-05-02,Reading Group Adult,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-05-08,Baby Rhyme Time,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-05-09,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-05-10,Other Early Years,Stronger more resilient communities,62
Barnet,Chipping Barnet,2018-05-14,BBP,Stronger more resilient communities,23
Barnet,Chipping Barnet,2018-05-14,Creative Play,Stronger more resilient communities,32
Barnet,Chipping Barnet,2018-05-15,Baby Rhyme Time,Stronger more resilient communities,35
Barnet,Chipping Barnet,2018-05-15,Other adult,Stronger more resilient communities,5
Barnet,Chipping Barnet,2018-05-16,IT,Stronger more resilient communities,3
Barnet,Chipping Barnet,2018-05-21,BBP,Stronger more resilient communities,35
Barnet,Chipping Barnet,2018-05-21,Creative Play,Stronger more resilient communities,18
Barnet,Chipping Barnet,2018-05-22,Baby Rhyme Time,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-05-23,Advice/Surgery,Stronger more resilient communities,7
Barnet,Chipping Barnet,2018-05-23,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-05-27,Summer Reading Challenge,Stronger more resilient communities,98
Barnet,Chipping Barnet,2018-05-30,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-05-30,Reading Group Adult,Stronger more resilient communities,7
Barnet,Chipping Barnet,2018-05-31,Other Child 5+,Stronger more resilient communities,11
Barnet,Chipping Barnet,2018-06-04,BBP,Stronger more resilient communities,20
Barnet,Chipping Barnet,2018-06-04,Creative Play,Stronger more resilient communities,40
Barnet,Chipping Barnet,2018-06-05,Baby Rhyme Time,Stronger more resilient communities,39
Barnet,Chipping Barnet,2018-06-06,IT,Stronger more resilient communities,2
Barnet,Chipping Barnet,2018-06-11,BBP,Stronger more resilient communities,36
Barnet,Chipping Barnet,2018-06-11,Creative Play,Stronger more resilient communities,38
Barnet,Chipping Barnet,2018-06-12,Baby Rhyme Time,Stronger more resilient communities,44
Barnet,Chipping Barnet,2018-06-13,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-06-18,BBP,Stronger more resilient communities,23
Barnet,Chipping Barnet,2018-06-18,Creative Play,Stronger more resilient communities,30
Barnet,Chipping Barnet,2018-06-19,Baby Rhyme Time,Stronger more resilient communities,45
Barnet,Chipping Barnet,2018-06-20,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-06-25,BBP,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-06-25,Creative Play,Stronger more resilient communities,25
Barnet,Chipping Barnet,2018-06-26,Baby Rhyme Time,Stronger more resilient communities,44
Barnet,Chipping Barnet,2018-06-27,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-06-28,Reading Group Adult,Stronger more resilient communities,8
Barnet,Chipping Barnet,2018-07-02,BBP,Stronger more resilient communities,29
Barnet,Chipping Barnet,2018-07-02,Creative Play,Stronger more resilient communities,18
Barnet,Chipping Barnet,2018-07-03,Advice/Surgery,Stronger more resilient communities,3
Barnet,Chipping Barnet,2018-07-03,Toddler Read and Rhyme,Stronger more resilient communities,35
Barnet,Chipping Barnet,2018-07-04,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-07-06,Reading Group Adult,Stronger more resilient communities,6
Barnet,Chipping Barnet,2018-07-09,BBP,Stronger more resilient communities,33
Barnet,Chipping Barnet,2018-07-09,Creative Play,Stronger more resilient communities,20
Barnet,Chipping Barnet,2018-07-10,Advice/Surgery,Stronger more resilient communities,0
Barnet,Chipping Barnet,2018-07-10,Toddler Read and Rhyme,Stronger more resilient communities,41
Barnet,Chipping Barnet,2018-07-11,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-07-16,BBP,Stronger more resilient communities,21
Barnet,Chipping Barnet,2018-07-16,Creative Play,Stronger more resilient communities,24
Barnet,Chipping Barnet,2018-07-17,Advice/Surgery,Stronger more resilient communities,2
Barnet,Chipping Barnet,2018-07-17,Toddler Read and Rhyme,Stronger more resilient communities,41
Barnet,Chipping Barnet,2018-07-18,IT,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-07-21,Other adult,Stronger more resilient communities,25
Barnet,Chipping Barnet,2018-07-24,Advice/Surgery,Stronger more resilient communities,2
Barnet,Chipping Barnet,2018-07-24,Other Child 5+,Stronger more resilient communities,8
Barnet,Chipping Barnet,2018-07-25,Reading Group Adult,Stronger more resilient communities,8
Barnet,Chipping Barnet,2018-07-27,Other Early Years,Stronger more resilient communities,98
Barnet,Chipping Barnet,2018-07-28,IT,Stronger more resilient communities,10
Barnet,Chipping Barnet,2018-07-30,BBP,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-07-30,Other Early Years,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-07-31,Advice/Surgery,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-08-06,Summer Reading Challenge,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-08-10,Other Early Years,Stronger more resilient communities,11
Barnet,Chipping Barnet,2018-08-14,BBP,Stronger more resilient communities,46
Barnet,Chipping Barnet,2018-08-20,Baby Rhyme Time,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-08-20,Other Early Years,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-08-20,Other Early Years,Stronger more resilient communities,39
Barnet,Chipping Barnet,2018-08-20,Other Early Years,Stronger more resilient communities,45
Barnet,Chipping Barnet,2018-08-21,IT,Stronger more resilient communities,11
Barnet,Chipping Barnet,2018-08-22,Other Early Years,Stronger more resilient communities,18
Barnet,Chipping Barnet,2018-09-04,Baby Rhyme Time,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-09-10,BBP,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-09-10,Creative Play,Stronger more resilient communities,39
Barnet,Chipping Barnet,2018-09-11,Baby Rhyme Time,Stronger more resilient communities,29
Barnet,Chipping Barnet,2018-09-12,IT,Stronger more resilient communities,3
Barnet,Chipping Barnet,2018-09-17,BBP,Stronger more resilient communities,25
Barnet,Chipping Barnet,2018-09-17,Creative Play,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-09-18,Baby Rhyme Time,Stronger more resilient communities,29
Barnet,Chipping Barnet,2018-09-19,Reading Group Adult,Stronger more resilient communities,8
Barnet,Chipping Barnet,2018-09-21,Other Early Years,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-09-24,BBP,Stronger more resilient communities,22
Barnet,Chipping Barnet,2018-09-24,Creative Play,Stronger more resilient communities,36
Barnet,Chipping Barnet,2018-09-25,Baby Rhyme Time,Stronger more resilient communities,40
Barnet,Chipping Barnet,2018-09-28,Other Early Years,Stronger more resilient communities,30
Barnet,Chipping Barnet,2018-10-01,BBP,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-10-01,Creative Play,Stronger more resilient communities,44
Barnet,Chipping Barnet,2018-10-02,Baby Rhyme Time,Stronger more resilient communities,30
Barnet,Chipping Barnet,2018-10-03,Careers/Job Hunting,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-10-03,IT,Stronger more resilient communities,10
Barnet,Chipping Barnet,2018-10-03,Knit & Natter/Crafts/Sewing,Stronger more resilient communities,1
Barnet,Chipping Barnet,2018-10-03,Reading Group Adult,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-10-05,Other Early Years,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-10-08,BBP,Stronger more resilient communities,22
Barnet,Chipping Barnet,2018-10-08,Class Visits Primary,Stronger more resilient communities,29
Barnet,Chipping Barnet,2018-10-08,Creative Play,Stronger more resilient communities,40
Barnet,Chipping Barnet,2018-10-09,Baby Rhyme Time,Stronger more resilient communities,25
Barnet,Chipping Barnet,2018-10-10,IT,Stronger more resilient communities,1
Barnet,Chipping Barnet,2018-10-15,Baby Rhyme Time,Stronger more resilient communities,30
Barnet,Chipping Barnet,2018-10-15,BBP,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-10-15,Creative Play,Stronger more resilient communities,41
Barnet,Chipping Barnet,2018-10-15,Reading Group Adult,Stronger more resilient communities,8
Barnet,Chipping Barnet,2018-10-25,Other Early Years,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-10-26,Other Early Years,Stronger more resilient communities,68
Barnet,Chipping Barnet,2018-10-29,BBP,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-10-29,Class Visits Primary,Stronger more resilient communities,21
Barnet,Chipping Barnet,2018-10-29,Creative Play,Stronger more resilient communities,39
Barnet,Chipping Barnet,2018-10-29,Other Early Years,Stronger more resilient communities,31
Barnet,Chipping Barnet,2018-10-30,Baby Rhyme Time,Stronger more resilient communities,32
Barnet,Chipping Barnet,2018-11-05,BBP,Stronger more resilient communities,33
Barnet,Chipping Barnet,2018-11-05,Creative Play,Stronger more resilient communities,41
Barnet,Chipping Barnet,2018-11-06,Baby Rhyme Time,Stronger more resilient communities,23
Barnet,Chipping Barnet,2018-11-07,Reading Group Adult,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-11-07,Reading Group Adult,Stronger more resilient communities,11
Barnet,Chipping Barnet,2018-11-12,BBP,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-11-12,Creative Play,Stronger more resilient communities,42
Barnet,Chipping Barnet,2018-11-13,Baby Rhyme Time,Stronger more resilient communities,27
Barnet,Chipping Barnet,2018-11-19,BBP,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-11-19,Creative Play,Stronger more resilient communities,46
Barnet,Chipping Barnet,2018-11-19,Other Early Years,Stronger more resilient communities,31
Barnet,Chipping Barnet,2018-11-20,Baby Rhyme Time,Stronger more resilient communities,0
Barnet,Chipping Barnet,2018-11-21,IT,Stronger more resilient communities,1
Barnet,Chipping Barnet,2018-11-24,IT,Stronger more resilient communities,1
Barnet,Chipping Barnet,2018-11-27,Baby Rhyme Time,Stronger more resilient communities,0
Barnet,Chipping Barnet,2018-11-28,IT,Stronger more resilient communities,1
Barnet,Chipping Barnet,2018-12-03,BBP,Stronger more resilient communities,34
Barnet,Chipping Barnet,2018-12-03,Creative Play,Stronger more resilient communities,45
Barnet,Chipping Barnet,2018-12-04,Baby Rhyme Time,Stronger more resilient communities,3
Barnet,Chipping Barnet,2018-12-05,Reading Group Adult,Stronger more resilient communities,0
Barnet,Chipping Barnet,2018-12-05,Reading Group Adult,Stronger more resilient communities,9
Barnet,Chipping Barnet,2018-12-10,BBP,Stronger more resilient communities,28
Barnet,Chipping Barnet,2018-12-10,Creative Play,Stronger more resilient communities,43
Barnet,Chipping Barnet,2018-12-11,Baby Rhyme Time,Stronger more resilient communities,4
Barnet,Chipping Barnet,2018-12-12,IT,Stronger more resilient communities,1
Barnet,Chipping Barnet,2018-12-17,Other Early Years,Stronger more resilient communities,16
Barnet,Chipping Barnet,2018-12-17,Other Early Years,Stronger more resilient communities,37
Barnet,Chipping Barnet,2018-12-17,Other Early Years,Stronger more resilient communities,65
Barnet,Chipping Barnet,2018-12-18,Baby Rhyme Time,Stronger more resilient communities,0
Barnet,Chipping Barnet,2018-12-25,Baby Rhyme Time,Stronger more resilient communities,0
Barnet,Chipping Barnet,2019-01-02,Baby Rhyme Time,Stronger more resilient communities,0
Barnet,Chipping Barnet,2019-01-02,Reading Group Adult,Stronger more resilient communities,0
Barnet,Chipping Barnet,2019-01-02,Reading Group Adult,Stronger more resilient communities,9
Barnet,Chipping Barnet,2019-01-03,Other Early Years,Stronger more resilient communities,44
Barnet,Chipping Barnet,2019-01-05,Other child 5+,Stronger more resilient communities,12
Barnet,Chipping Barnet,2019-01-07,BBP,Stronger more resilient communities,20
Barnet,Chipping Barnet,2019-01-07,Creative Play,Stronger more resilient communities,44
Barnet,Chipping Barnet,2019-01-08,Baby Rhyme Time,Stronger more resilient communities,27
Barnet,Chipping Barnet,2019-01-14,BBP,Stronger more resilient communities,42
Barnet,Chipping Barnet,2019-01-14,Creative Play,Stronger more resilient communities,42
Barnet,Chipping Barnet,2019-01-15,Baby Rhyme Time,Stronger more resilient communities,20
Barnet,Chipping Barnet,2019-01-21,BBP,Stronger more resilient communities,54
Barnet,Chipping Barnet,2019-01-21,Creative Play,Stronger more resilient communities,39
Barnet,Chipping Barnet,2019-01-22,Baby Rhyme Time,Stronger more resilient communities,33
Barnet,Chipping Barnet,2019-01-23,IT,Stronger more resilient communities,1
Barnet,Chipping Barnet,2019-01-23,Other adult,Stronger more resilient communities,31
Barnet,Chipping Barnet,2019-01-28,BBP,Stronger more resilient communities,32
Barnet,Chipping Barnet,2019-01-28,Creative Play,Stronger more resilient communities,42
Barnet,Chipping Barnet,2019-01-29,Baby Rhyme Time,Stronger more resilient communities,23
Barnet,Chipping Barnet,2019-02-02,Other adult,Stronger more resilient communities,52
Barnet,Chipping Barnet,2019-02-04,BBP,Stronger more resilient communities,24
Barnet,Chipping Barnet,2019-02-04,BBP,Stronger more resilient communities,36
Barnet,Chipping Barnet,2019-02-04,Creative Play,Stronger more resilient communities,30
Barnet,Chipping Barnet,2019-02-04,Creative Play,Stronger more resilient communities,31
Barnet,Chipping Barnet,2019-02-05,Baby Rhyme Time,Stronger more resilient communities,29
Barnet,Chipping Barnet,2019-02-06,Other adult,Stronger more resilient communities,42
Barnet,Chipping Barnet,2019-02-06,Reading Group Adult,Stronger more resilient communities,10
Barnet,Chipping Barnet,2019-02-11,BBP,Stronger more resilient communities,36
Barnet,Chipping Barnet,2019-02-11,Creative Play,Stronger more resilient communities,46
Barnet,Chipping Barnet,2019-02-12,Baby Rhyme Time,Stronger more resilient communities,25
Barnet,Chipping Barnet,2019-02-19,Baby Rhyme Time,Stronger more resilient communities,0
Barnet,Chipping Barnet,2019-02-19,Other Child 5+,Stronger more resilient communities,16
Barnet,Chipping Barnet,2019-02-20,Other child 5+,Stronger more resilient communities,16
Barnet,Chipping Barnet,2019-02-25,BBP,Stronger more resilient communities,32
Barnet,Chipping Barnet,2019-02-25,Creative Play,Stronger more resilient communities,32
Barnet,Chipping Barnet,2019-02-26,Baby Rhyme Time,Stronger more resilient communities,27
Barnet,Chipping Barnet,2019-03-05,Baby Rhyme Time,Stronger more resilient communities,28
Barnet,Chipping Barnet,2019-03-05,Class Visits Secondary,Stronger more resilient communities,30
Barnet,Chipping Barnet,2019-03-06,Other adult,Stronger more resilient communities,10
Barnet,Chipping Barnet,2019-03-06,Other adult,Stronger more resilient communities,11
Barnet,Chipping Barnet,2019-03-06,Reading Group Adult,Stronger more resilient communities,8
Barnet,Chipping Barnet,2019-03-06,Reading Group Adult,Stronger more resilient communities,10
Barnet,Chipping Barnet,2019-03-11,BBP,Stronger more resilient communities,39
Barnet,Chipping Barnet,2019-03-11,Creative Play,Stronger more resilient communities,36
Barnet,Chipping Barnet,2019-03-12,Baby Rhyme Time,Stronger more resilient communities,24
Barnet,Chipping Barnet,2019-03-12,Class Visits Secondary,Stronger more resilient communities,26
Barnet,Chipping Barnet,2019-03-12,Class Visits Secondary,Stronger more resilient communities,30
Barnet,Chipping Barnet,2019-03-15,Class Visits Secondary,Stronger more resilient communities,30
Barnet,Chipping Barnet,2019-03-21,Other Child 5+,Stronger more resilient communities,70
Barnet,Chipping Barnet,2019-03-25,BBP,Stronger more resilient communities,50
Barnet,Chipping Barnet,2019-03-25,Toddler Time,Stronger more resilient communities,40
Barnet,Chipping Barnet,2019-03-26,Baby Rhyme Time,Stronger more resilient communities,23
Barnet,Chipping Barnet,2019-03-26,Class Visits Secondary,Stronger more resilient communities,28
Barnet,Chipping Barnet,2019-04-01,BBP,Stronger more resilient communities,46
Barnet,Chipping Barnet,2019-04-01,Creative Play,Stronger more resilient communities,38
Barnet,Chipping Barnet,2019-04-02,Baby Rhyme Time,Stronger more resilient communities,19
Barnet,Chipping Barnet,2019-04-03,Reading Group Adult,Stronger more resilient communities,7
Barnet,Chipping Barnet,2019-04-09,Other Early Years,Stronger more resilient communities,20
Barnet,Chipping Barnet,2019-04-10,Other Child 5+,Stronger more resilient communities,1
Barnet,Chipping Barnet,2019-04-10,Other Child 5+,Stronger more resilient communities,19
Barnet,Chipping Barnet,2019-04-10,Other Early Years,Stronger more resilient communities,19
Barnet,Chipping Barnet,2019-04-10,Other teen,Stronger more resilient communities,1
Barnet,Chipping Barnet,2019-04-11,Other Child 5+,Stronger more resilient communities,1
Barnet,Chipping Barnet,2019-04-11,Other teen,Stronger more resilient communities,1
Barnet,Chipping Barnet,2019-04-15,BBP,Stronger more resilient communities,42
Barnet,Chipping Barnet,2019-04-16,Other Child 5+,Stronger more resilient communities,8
Barnet,Chipping Barnet,2019-04-17,Other adult,Stronger more resilient communities,22
Barnet,Chipping Barnet,2019-04-17,Reading Group Adult,Stronger more resilient communities,7
Barnet,Chipping Barnet,2019-04-23,Baby Rhyme Time,Stronger more resilient communities,15
Barnet,Chipping Barnet,2019-04-29,BBP,Stronger more resilient communities,50
Barnet,Chipping Barnet,2019-04-29,Creative Play,Stronger more resilient communities,32
Barnet,Chipping Barnet,2019-04-30,Baby Rhyme Time,Stronger more resilient communities,23
Barnet,Chipping Barnet,2019-05-07,Baby Rhyme Time,Stronger more resilient communities,24
Barnet,Chipping Barnet,2019-05-11,Other adult,Stronger more resilient communities,9
Barnet,Chipping Barnet,2019-05-11,Other adult,Stronger more resilient communities,15
Barnet,Chipping Barnet,2019-05-11,Other adult,Stronger more resilient communities,16
Barnet,Chipping Barnet,2019-05-11,Other adult,Stronger more resilient communities,27
